Date,Open*,High,Low,Close**,Volume,Market Cap
27-Aug-20,$0.12 ,$0.12 ,$0.10 ,$0.11 ,"$361,935,074 ","$2,769,641,487 "
26-Aug-20,$0.11 ,$0.12 ,$0.11 ,$0.12 ,"$314,761,939 ","$2,989,007,621 "
25-Aug-20,$0.12 ,$0.12 ,$0.11 ,$0.11 ,"$431,857,369 ","$2,937,332,630 "
24-Aug-20,$0.12 ,$0.13 ,$0.12 ,$0.12 ,"$278,021,260 ","$3,227,620,470 "
23-Aug-20,$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$232,234,230 ","$3,152,604,459 "
22-Aug-20,$0.12 ,$0.13 ,$0.12 ,$0.13 ,"$296,099,194 ","$3,248,030,061 "
21-Aug-20,$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$363,034,924 ","$3,208,744,873 "
20-Aug-20,$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$314,037,834 ","$3,464,940,044 "
19-Aug-20,$0.14 ,$0.14 ,$0.13 ,$0.13 ,"$383,288,760 ","$3,351,728,015 "
18-Aug-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$340,692,991 ","$3,563,078,059 "
17-Aug-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$425,628,203 ","$3,653,631,796 "
16-Aug-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$284,566,480 ","$3,590,147,102 "
15-Aug-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$343,504,348 ","$3,585,803,603 "
14-Aug-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$355,732,407 ","$3,586,695,888 "
13-Aug-20,$0.14 ,$0.14 ,$0.13 ,$0.14 ,"$470,617,782 ","$3,662,064,337 "
12-Aug-20,$0.14 ,$0.14 ,$0.12 ,$0.14 ,"$434,540,367 ","$3,562,335,655 "
11-Aug-20,$0.14 ,$0.14 ,$0.13 ,$0.14 ,"$595,072,471 ","$3,563,301,331 "
10-Aug-20,$0.15 ,$0.15 ,$0.14 ,$0.14 ,"$311,836,535 ","$3,729,737,359 "
09-Aug-20,$0.15 ,$0.15 ,$0.14 ,$0.15 ,"$426,878,184 ","$3,765,758,412 "
08-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.15 ,"$325,527,431 ","$3,779,666,320 "
07-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$620,550,178 ","$3,607,887,750 "
06-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$278,613,533 ","$3,734,743,214 "
05-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$274,829,819 ","$3,699,659,275 "
04-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$376,096,013 ","$3,708,035,529 "
03-Aug-20,$0.13 ,$0.14 ,$0.13 ,$0.14 ,"$248,378,862 ","$3,560,687,133 "
02-Aug-20,$0.14 ,$0.15 ,$0.13 ,$0.13 ,"$421,324,885 ","$3,461,382,969 "
01-Aug-20,$0.14 ,$0.15 ,$0.14 ,$0.14 ,"$362,476,707 ","$3,722,421,374 "
31-Jul-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$230,659,122 ","$3,598,615,577 "
30-Jul-20,$0.14 ,$0.14 ,$0.14 ,$0.14 ,"$257,573,327 ","$3,645,046,756 "
29-Jul-20,$0.15 ,$0.15 ,$0.14 ,$0.14 ,"$451,915,307 ","$3,626,663,356 "
28-Jul-20,$0.14 ,$0.15 ,$0.14 ,$0.15 ,"$638,080,214 ","$3,852,716,910 "
27-Jul-20,$0.15 ,$0.15 ,$0.13 ,$0.14 ,"$745,732,008 ","$3,597,922,375 "
26-Jul-20,$0.14 ,$0.15 ,$0.14 ,$0.15 ,"$743,098,554 ","$3,839,996,381 "
25-Jul-20,$0.12 ,$0.14 ,$0.12 ,$0.14 ,"$630,341,416 ","$3,722,550,592 "
24-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$198,707,995 ","$3,160,191,204 "
23-Jul-20,$0.12 ,$0.13 ,$0.12 ,$0.12 ,"$201,587,814 ","$3,209,066,253 "
22-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$157,853,191 ","$3,212,941,570 "
21-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$208,927,329 ","$3,188,120,006 "
20-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$176,280,626 ","$3,057,429,415 "
19-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$159,010,744 ","$3,207,480,247 "
18-Jul-20,$0.12 ,$0.12 ,$0.12 ,$0.12 ,"$221,333,950 ","$3,175,481,569 "
17-Jul-20,$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$231,984,863 ","$3,175,704,150 "
16-Jul-20,$0.13 ,$0.13 ,$0.12 ,$0.13 ,"$423,824,352 ","$3,264,792,189 "
15-Jul-20,$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$292,680,349 ","$3,380,098,710 "
14-Jul-20,$0.12 ,$0.13 ,$0.12 ,$0.13 ,"$449,379,997 ","$3,421,411,525 "
13-Jul-20,$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$553,867,759 ","$3,219,003,554 "
12-Jul-20,$0.13 ,$0.13 ,$0.12 ,$0.13 ,"$340,033,778 ","$3,287,118,881 "
11-Jul-20,$0.12 ,$0.13 ,$0.12 ,$0.13 ,"$393,237,279 ","$3,246,433,643 "
10-Jul-20,$0.12 ,$0.12 ,$0.11 ,$0.12 ,"$513,272,164 ","$3,067,594,192 "
09-Jul-20,$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$659,099,389 ","$3,222,557,775 "
08-Jul-20,$0.12 ,$0.14 ,$0.12 ,$0.13 ,"$1,161,107,598 ","$3,368,126,986 "
07-Jul-20,$0.11 ,$0.12 ,$0.10 ,$0.12 ,"$575,537,074 ","$3,047,824,535 "
06-Jul-20,$0.10 ,$0.11 ,$0.10 ,$0.11 ,"$336,062,177 ","$2,728,084,902 "
05-Jul-20,$0.10 ,$0.10 ,$0.09 ,$0.10 ,"$262,132,088 ","$2,546,315,063 "
04-Jul-20,$0.10 ,$0.10 ,$0.10 ,$0.10 ,"$325,220,890 ","$2,591,469,353 "
03-Jul-20,$0.09 ,$0.10 ,$0.09 ,$0.10 ,"$449,087,829 ","$2,502,949,277 "
02-Jul-20,$0.10 ,$0.10 ,$0.09 ,$0.09 ,"$416,119,936 ","$2,445,594,521 "
01-Jul-20,$0.08 ,$0.10 ,$0.08 ,$0.10 ,"$411,496,624 ","$2,487,802,576 "
30-Jun-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$208,687,716 ","$2,154,965,825 "
29-Jun-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$275,593,607 ","$2,174,495,660 "
28-Jun-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$188,871,401 ","$2,084,324,972 "
27-Jun-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$148,184,221 ","$2,013,977,990 "
26-Jun-20,$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$163,378,517 ","$2,088,710,302 "
